task_id,region,anomaly,arrival_time_s,decision_time_s,latency_ms,joules_cost,decision_sat_id,success,semantic_compliant,engine
1,EUROPE,,5.0,5.0,0.005,0.001,2,1,1,ORACLE
2,USA,,10.0,10.0,0.004,0.001,15,1,1,ORACLE
3,EUROPE,restricao_gdpr_europa,30.0,30.0,0.007,0.001,2,1,1,ORACLE
4,USA,,65.0,65.0,0.004,0.001,15,1,1,ORACLE
5,EUROPE,,90.0,90.0,0.004,0.001,2,1,1,ORACLE
6,USA,,115.0,115.0,0.003,0.001,15,1,1,ORACLE
7,BRAZIL,,125.0,125.0,0.003,0.001,1,1,1,ORACLE
8,EUROPE,,130.0,130.0,0.003,0.001,2,1,1,ORACLE
9,EUROPE,,185.0,185.0,0.003,0.001,2,1,1,ORACLE
10,EUROPE,,210.0,210.0,0.003,0.001,2,1,1,ORACLE
11,EUROPE,,220.0,220.0,0.003,0.001,2,1,1,ORACLE
12,EUROPE,,270.0,270.0,0.003,0.001,2,1,1,ORACLE
13,EUROPE,,310.0,310.0,0.003,0.001,2,1,1,ORACLE
14,EUROPE,,325.0,325.0,0.003,0.001,2,1,1,ORACLE
15,EUROPE,,350.0,350.0,0.003,0.001,2,1,1,ORACLE
16,EUROPE,,365.0,365.0,0.003,0.001,2,1,1,ORACLE
17,BRAZIL,,405.0,405.0,0.007,0.001,1,1,1,ORACLE
18,USA,,460.0,460.0,0.006,0.001,15,1,1,ORACLE
19,EUROPE,,470.0,470.0,0.004,0.001,2,1,1,ORACLE
20,USA,,495.0,495.0,0.003,0.001,15,1,1,ORACLE
21,EUROPE,,505.0,505.0,0.003,0.001,2,1,1,ORACLE
22,BRAZIL,,530.0,530.0,0.003,0.001,1,1,1,ORACLE
23,BRAZIL,,535.0,535.0,0.003,0.001,1,1,1,ORACLE
24,EUROPE,,545.0,545.0,0.003,0.001,2,1,1,ORACLE
25,EUROPE,,555.0,555.0,0.003,0.001,2,1,1,ORACLE
26,USA,,570.0,570.0,0.003,0.001,15,1,1,ORACLE
27,BRAZIL,,575.0,575.0,0.003,0.001,1,1,1,ORACLE
28,USA,,615.0,615.0,0.004,0.001,15,1,1,ORACLE
29,EUROPE,,625.0,625.0,0.003,0.001,2,1,1,ORACLE
30,USA,,665.0,665.0,0.003,0.001,15,1,1,ORACLE
31,USA,,685.0,685.0,0.003,0.001,15,1,1,ORACLE
32,EUROPE,,735.0,735.0,0.003,0.001,2,1,1,ORACLE
33,EUROPE,,740.0,740.0,0.003,0.001,2,1,1,ORACLE
34,USA,,785.0,785.0,0.003,0.001,15,1,1,ORACLE
35,EUROPE,,800.0,800.0,0.003,0.001,2,1,1,ORACLE
36,USA,falha_hardware_camera_esq,830.0,830.0,0.002,0.001,,0,1,ORACLE
37,USA,,845.0,845.0,0.004,0.001,15,1,1,ORACLE
38,BRAZIL,,850.0,850.0,0.004,0.001,1,1,1,ORACLE
39,EUROPE,,865.0,865.0,0.004,0.001,2,1,1,ORACLE
40,EUROPE,,890.0,890.0,0.003,0.001,2,1,1,ORACLE
41,EUROPE,restricao_gdpr_europa,920.0,920.0,0.007,0.001,2,1,1,ORACLE
42,EUROPE,,930.0,930.0,0.004,0.001,2,1,1,ORACLE
43,EUROPE,,935.0,935.0,0.003,0.001,2,1,1,ORACLE
44,BRAZIL,,945.0,945.0,0.003,0.001,1,1,1,ORACLE
45,USA,,995.0,995.0,0.003,0.001,15,1,1,ORACLE
46,EUROPE,,1005.0,1005.0,0.003,0.001,2,1,1,ORACLE
47,BRAZIL,,1010.0,1010.0,0.003,0.001,1,1,1,ORACLE
48,BRAZIL,,1035.0,1035.0,0.003,0.001,1,1,1,ORACLE
49,EUROPE,,1055.0,1055.0,0.003,0.001,2,1,1,ORACLE
50,EUROPE,,1065.0,1065.0,0.003,0.001,2,1,1,ORACLE
51,BRAZIL,,1075.0,1075.0,0.003,0.001,1,1,1,ORACLE
52,USA,,1085.0,1085.0,0.003,0.001,15,1,1,ORACLE
53,EUROPE,,1115.0,1115.0,0.003,0.001,2,1,1,ORACLE
54,USA,,1135.0,1135.0,0.003,0.001,15,1,1,ORACLE
55,EUROPE,,1140.0,1140.0,0.003,0.001,2,1,1,ORACLE
56,USA,,1160.0,1160.0,0.003,0.001,15,1,1,ORACLE
57,BRAZIL,restricao_gdpr_europa,1165.0,1165.0,0.006,0.001,2,1,1,ORACLE
58,BRAZIL,,1195.0,1195.0,0.003,0.001,1,1,1,ORACLE
