task_id,region,anomaly,arrival_time_s,decision_time_s,latency_ms,joules_cost,decision_sat_id,success,semantic_compliant,engine
1,BRAZIL,,55.0,55.0,0.007,0.001,1,1,1,ORACLE
2,EUROPE,falha_calibracao_sensor_termico,60.0,60.0,0.004,0.001,2,1,0,ORACLE
3,EUROPE,,65.0,65.0,0.003,0.001,2,1,1,ORACLE
4,USA,,70.0,70.0,0.003,0.001,15,1,1,ORACLE
5,USA,,80.0,80.0,0.003,0.001,15,1,1,ORACLE
6,USA,,85.0,85.0,0.003,0.001,15,1,1,ORACLE
7,EUROPE,,95.0,95.0,0.003,0.001,2,1,1,ORACLE
8,EUROPE,,110.0,110.0,0.003,0.001,2,1,1,ORACLE
9,EUROPE,,120.0,120.0,0.003,0.001,2,1,1,ORACLE
10,EUROPE,,130.0,130.0,0.003,0.001,2,1,1,ORACLE
11,EUROPE,restricao_residencia_dados_ue,155.0,155.0,0.003,0.001,2,1,1,ORACLE
12,USA,,160.0,160.0,0.003,0.001,15,1,1,ORACLE
13,EUROPE,restricao_lgpd_brasil,185.0,185.0,0.003,0.001,2,1,0,ORACLE
14,EUROPE,restricao_residencia_dados_ue,200.0,200.0,0.003,0.001,2,1,1,ORACLE
15,BRAZIL,,210.0,210.0,0.003,0.001,1,1,1,ORACLE
16,BRAZIL,,250.0,250.0,0.003,0.001,1,1,1,ORACLE
17,USA,,255.0,255.0,0.003,0.001,15,1,1,ORACLE
18,BRAZIL,,260.0,260.0,0.003,0.001,1,1,1,ORACLE
19,USA,,275.0,275.0,0.003,0.001,15,1,1,ORACLE
20,EUROPE,,310.0,310.0,0.003,0.001,2,1,1,ORACLE
21,BRAZIL,,340.0,340.0,0.003,0.001,1,1,1,ORACLE
22,USA,restricao_itar_eua,360.0,360.0,0.003,0.001,15,1,1,ORACLE
23,EUROPE,,400.0,400.0,0.003,0.001,2,1,1,ORACLE
24,EUROPE,,405.0,405.0,0.003,0.001,2,1,1,ORACLE
25,USA,,410.0,410.0,0.003,0.001,15,1,1,ORACLE
26,BRAZIL,restricao_residencia_dados_ue,470.0,470.0,0.007,0.001,1,1,0,ORACLE
27,USA,,485.0,485.0,0.003,0.001,15,1,1,ORACLE
28,EUROPE,,500.0,500.0,0.003,0.001,2,1,1,ORACLE
29,BRAZIL,,505.0,505.0,0.003,0.001,1,1,1,ORACLE
30,USA,,525.0,525.0,0.003,0.001,15,1,1,ORACLE
31,EUROPE,,540.0,540.0,0.003,0.001,2,1,1,ORACLE
32,EUROPE,,550.0,550.0,0.003,0.001,2,1,1,ORACLE
33,EUROPE,falha_calibracao_sensor_termico,585.0,585.0,0.004,0.001,2,1,0,ORACLE
34,USA,,625.0,625.0,0.003,0.001,15,1,1,ORACLE
35,BRAZIL,,630.0,630.0,0.003,0.001,1,1,1,ORACLE
36,BRAZIL,,645.0,645.0,0.003,0.001,1,1,1,ORACLE
37,USA,restricao_itar_eua,660.0,660.0,0.003,0.001,15,1,1,ORACLE
38,USA,restricao_hipaa_eua,680.0,680.0,0.003,0.001,15,1,1,ORACLE
39,USA,,700.0,700.0,0.003,0.001,15,1,1,ORACLE
40,EUROPE,,770.0,770.0,0.004,0.001,2,1,1,ORACLE
41,EUROPE,,805.0,805.0,0.003,0.001,2,1,1,ORACLE
42,USA,,815.0,815.0,0.003,0.001,15,1,1,ORACLE
43,USA,,830.0,830.0,0.003,0.001,15,1,1,ORACLE
44,USA,,870.0,870.0,0.003,0.001,15,1,1,ORACLE
45,EUROPE,,900.0,900.0,0.003,0.001,2,1,1,ORACLE
46,BRAZIL,,905.0,905.0,0.003,0.001,1,1,1,ORACLE
47,BRAZIL,,920.0,920.0,0.003,0.001,1,1,1,ORACLE
48,USA,,980.0,980.0,0.003,0.001,15,1,1,ORACLE
49,EUROPE,,1065.0,1065.0,0.004,0.001,2,1,1,ORACLE
50,EUROPE,,1095.0,1095.0,0.003,0.001,2,1,1,ORACLE
51,USA,,1105.0,1105.0,0.003,0.001,15,1,1,ORACLE
52,BRAZIL,,1155.0,1155.0,0.003,0.001,1,1,1,ORACLE
53,USA,,1180.0,1180.0,0.003,0.001,15,1,1,ORACLE
54,EUROPE,,1190.0,1190.0,0.003,0.001,2,1,1,ORACLE
55,BRAZIL,,1195.0,1195.0,0.003,0.001,1,1,1,ORACLE
